Name,TraderID,WeeklyTrades,ProfitRate,WinRate,RR,AvgWin,AvgLoss,Hold,MarketCount,Score
TheyAreTakingTheHobitsToIsengard,0x1058f156b207cafe61d102e97bf6796931d301c1,146,0.514,97.9,6.5885,97.18,-14.75,0.19,155,0.8257
Di88medes,0x6c557de3d1056971396317b2553b15b094a24a8c,456,0.0793,100.0,6.5885,7939.13,0.0,0.30,38,0.612
tyutgbhnm,0x5ad7346a9f6b4a1ad852ec8e0716d446527cae48,130,0.5459,86.5,2.3309,13197.36,-5661.84,0.86,52,0.6022
CentralCasting,0x0feb1bf966bc7f954c2da0293ae2fdc572c5db5d,427,0.1931,85.5,3.842,7596.99,-1977.34,~0.24,69,0.4722
SDTrading,0x16bb9951a36fce71e2ef57890b786145e0ba8492,284,0.0522,93.9,0.9648,9990.16,-10355.07,1.14,626,0.4049
xabidaking,0x3f985e3a68f88e6ed8da1a22e1a5eda81c8e0aa1,177,0.0635,83.3,1.5606,3469.35,-2223.07,0.10,215,0.3272
xifutloong3,0x2dc13c6bda81b202281e796953a7323de675b33c,25,0.0805,77.8,2.4696,15808.12,-6401.14,0.21,216,0.3232
wan123,0xde7be6d489bce070a959e0cb813128ae659b5f4b,455,0.0738,79.6,1.2759,27647.51,-21669.8,~4.78,225,0.2564
mr.ozi,0x614dc8d3542c12103d2c6a3553fd761e391d1546,396,0.0942,67.0,0.7529,1256.05,-1668.37,~9.26,2000,0.2521
SheltonDoubter,0x7cf93583951552553bc0d243a8582a3410ed2798,430,0.2448,71.3,0.603,24300.24,-40299.84,~16.20,98,0.1519
Erasmus.,0xc6587b11a2209e46dfe3928b31c5514a8e33b784,34,0.1268,70.2,0.5161,9192.32,-17810.21,~17.96,828,0.1226
